AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,AgeuponOutcomeInMonths,OutcomeMonth
A669834,,12/28/13 14:06,Transfer,Partner,Dog,Intact Female,2 months,German Shepherd Mix,Black/Cream,2,12
A677186,Sam,11/1/14 11:16,Return_to_owner,,Dog,Neutered Male,7 years,German Shepherd/Alaskan Malamute,Tan/Black,84,11
A705245,Bert,6/23/15 13:39,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Longhair Mix,Blue Tabby,24,6
A710263,,8/21/15 9:00,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby/White,12,8
A697706,Breezy,3/7/15 12:27,Transfer,Partner,Dog,Spayed Female,2 years,Pointer Mix,White/Black,24,3
A712202,,9/21/15 15:59,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White,1,9
A684187,,8/8/14 13:33,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White,2,8
A695507,Tangelo,6/23/15 17:14,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Orange Tabby,36,6
A673805,Betsy,3/30/14 12:11,Transfer,Partner,Dog,Intact Female,3 months,Labrador Retriever/Flat Coat Retriever,Black/White,3,3
A695660,Lewis,2/8/15 13:55,Transfer,Partner,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Brown Tabby/White,48,2
A618663,Bailey,8/18/15 13:40,Return_to_owner,,Dog,Neutered Male,4 years,Whippet Mix,Brown/Black,48,8
A703177,Muffin,5/26/15 12:21,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie,1,5
A685240,,8/12/14 13:34,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Longhair Mix,Tortie,24,8
A687068,Frankie,9/20/14 16:10,Adoption,Offsite,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Red/Black,2,9
A701098,Rocco,4/29/15 14:17,Transfer,Partner,Dog,Intact Male,2 years,Dachshund Longhair,Red/White,24,4
A684831,Cosmo,8/2/14 15:02,Transfer,Partner,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Blue/White,84,8
A683154,,7/18/14 15:03,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue,1,7
A665341,,10/23/13 12:55,Transfer,Partner,Dog,Intact Male,4 months,Dachshund Mix,Red,4,10
A715512,Lola,1/4/16 0:00,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Orange Tabby,12,1
A669995,Ferguson,1/6/14 18:40,Adoption,,Cat,Intact Male,4 months,Domestic Longhair Mix,White/Blue,4,1
A674877,,3/23/14 17:08,Transfer,Partner,Dog,Neutered Male,2 months,Miniature Poodle/Miniature Schnauzer,Black/White,2,3
A719149,Paris,1/25/16 18:03,Return_to_owner,,Dog,Spayed Female,2 years,Miniature Schnauzer,Black,24,1
A703189,Squeaker,1/7/16 8:18,Adoption,Foster,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Brown Tabby/Orange,8,1
A721038,Kiah,2/21/16 11:12,Return_to_owner,,Dog,Spayed Female,2 years,Border Collie Mix,Black/White,24,2
A695257,,1/12/15 12:13,Euthanasia,Suffering,Cat,Neutered Male,12 years,Domestic Longhair Mix,White,144,1
A703313,T.C.,7/9/15 19:01,Adoption,,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Black/White,48,7
A669293,Mini Mouse,12/23/13 16:49,Adoption,,Dog,Spayed Female,4 years,Newfoundland/Labrador Retriever,Black/Brown,48,12
A673251,Louie,3/8/14 14:37,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair/Wire Hair Fox Terrier,Brown/White,24,3
A683191,Dagwood,7/18/14 14:27,Transfer,Partner,Dog,Intact Male,2 months,German Shepherd Mix,Black/Tan,2,7
A708030,Bella,7/27/15 17:11,Adoption,,Dog,Spayed Female,6 months,Labrador Retriever Mix,Brown,6,7
A669652,,12/29/13 16:06,Transfer,Partner,Dog,Intact Male,4 years,Chihuahua Shorthair Mix,Tan,48,12
A672354,,2/8/14 17:55,Euthanasia,Suffering,Cat,Unknown,10 years,Domestic Shorthair Mix,Brown Tabby,120,2
A717548,,12/14/15 19:30,Transfer,SCRP,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby,24,12
A716265,Taz,11/18/15 18:07,Return_to_owner,,Dog,Intact Male,5 months,Pug Mix,Tan,5,11
A664941,Tequila,4/15/15 15:27,Return_to_owner,,Dog,Spayed Female,5 years,Pit Bull Mix,Red/White,60,4
A540828,Sir,9/1/15 12:02,Return_to_owner,,Dog,Intact Male,8 years,Pit Bull,Blue/White,96,9
A683564,,7/16/14 13:37,Transfer,Partner,Dog,Neutered Male,3 years,Lhasa Apso Mix,White,36,7
A668715,,1/15/14 12:15,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Chocolate/White,24,1
A672554,Hero,3/15/14 13:59,Adoption,,Dog,Neutered Male,2 years,Australian Cattle Dog/American Staffordshire Terrier,Brown Brindle,24,3
A683111,Bonnie,10/20/14 13:01,Return_to_owner,,Dog,Spayed Female,6 years,German Shepherd Mix,Brown/Black,72,10
A711949,,9/22/15 17:12,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue,2,9
A694661,Percy,2/5/15 18:07,Adoption,,Dog,Neutered Male,10 months,Australian Cattle Dog/Pit Bull,Black/White,10,2
A708307,Yelena,8/6/15 14:45,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black/White,2,8
A684646,Pete,8/3/14 17:53,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White,2,8
A664022,Black Fire,10/10/13 17:11,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black,2,10
A683409,Elliot,7/27/14 12:16,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,2,7
A692495,Little Mama,8/29/15 14:04,Adoption,Offsite,Dog,Spayed Female,11 months,Chihuahua Shorthair Mix,Black/Brown,11,8
A685922,,8/18/14 17:45,Adoption,,Dog,Spayed Female,4 months,German Shepherd Mix,Brown/Black,4,8
A709234,Leandra,8/25/15 18:14,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Blue Tabby/White,5,8
A619157,Zebra,2/3/15 17:12,Euthanasia,Aggressive,Dog,Spayed Female,3 years,Pit Bull Mix,Brown Brindle/White,36,2
A712712,Gia,11/28/15 17:42,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Torbie,2,11
A693851,,12/15/14 17:53,Euthanasia,Suffering,Dog,Intact Male,10 years,Chihuahua Shorthair Mix,Black/White,120,12
A709034,Mocha,8/4/15 12:24,Return_to_owner,,Dog,Neutered Male,3 years,Yorkshire Terrier Mix,Brown/Black,36,8
A677732,Chloe,4/28/14 16:31,Return_to_owner,,Dog,Intact Female,4 years,Miniature Schnauzer/Miniature Poodle,White,48,4
A678244,,5/8/14 13:56,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black/White,12,5
A690566,,10/22/14 17:40,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby/White,0.75,10
A665376,,10/20/13 13:35,Euthanasia,Suffering,Dog,Neutered Male,8 years,Chihuahua Shorthair Mix,Tan/White,96,10
A679605,,5/23/14 16:24,Transfer,Partner,Dog,Intact Male,1 month,Pit Bull Mix,Brown/Chocolate,1,5
A645447,Juanito,10/10/13 11:18,Transfer,Partner,Dog,Neutered Male,4 years,Boxer Mix,Red/White,48,10
A689137,Peppermint,10/10/14 16:19,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,2,10
A713218,,10/5/15 9:00,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,24,10
A689521,Harley,10/9/14 11:39,Return_to_owner,,Dog,Intact Female,5 years,Labrador Retriever Mix,Chocolate,60,10
A669798,Clifford,6/29/14 14:48,Transfer,Partner,Dog,Neutered Male,2 years,Mastiff Mix,Red/White,24,6
A706320,,6/27/15 16:31,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico/Tricolor,0.75,6
A665365,Mariposa,6/21/14 17:12,Return_to_owner,,Dog,Spayed Female,2 years,Jack Russell Terrier Mix,White,24,6
A679935,Corey,6/1/14 17:34,Adoption,,Cat,Neutered Male,2 months,Snowshoe Mix,Chocolate Point/White,2,6
A714493,Kibby,11/3/15 11:22,Return_to_owner,,Dog,Spayed Female,14 years,Chow Chow Mix,Brown,168,11
A684251,Grover,7/31/14 14:00,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,3,7
A701007,Eloise,5/3/15 19:35,Adoption,Offsite,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Black,36,5
A718092,,12/23/15 14:13,Return_to_owner,,Dog,Spayed Female,8 years,Manchester Terrier Mix,Black/Tan,96,12
A712726,Rigby,10/5/15 18:04,Adoption,,Dog,Neutered Male,2 years,Boxer Mix,Brown Brindle/White,24,10
A685415,,8/11/14 17:15,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Cream,12,8
A672440,,2/11/14 17:40,Transfer,SCRP,Cat,Neutered Male,3 years,Domestic Medium Hair Mix,Brown Tabby,36,2
A673656,Parvati,3/9/14 18:02,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Brown,24,3
A707877,Sassy,7/25/15 17:50,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby/White,2,7
A713061,Herlinda,10/12/15 12:18,Transfer,Partner,Dog,Spayed Female,6 months,Labrador Retriever Mix,Black/White,6,10
A695521,Nacho,1/21/15 17:15,Adoption,,Dog,Neutered Male,9 years,Chihuahua Shorthair Mix,Brown,108,1
A711620,Lily,9/13/15 17:25,Adoption,,Dog,Spayed Female,4 months,Australian Kelpie Mix,Black/White,4,9
A700856,Suzie,4/23/15 16:08,Return_to_owner,,Dog,Spayed Female,3 years,Shih Tzu,Brown/White,36,4
A677017,Sasha,4/18/14 18:15,Return_to_owner,,Dog,Spayed Female,5 years,Chihuahua Shorthair,Tricolor,60,4
A665992,Ollie,12/9/13 12:26,Transfer,Partner,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White,36,12
A674632,Roja,3/20/14 14:53,Adoption,,Dog,Spayed Female,9 years,Dachshund,Red,108,3
A703935,Jack,5/31/15 14:19,Return_to_owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan,36,5
A705554,,6/18/15 19:27,Transfer,Partner,Dog,Unknown,4 weeks,Border Collie Mix,Black/White,1,6
A698431,,3/11/15 16:42,Euthanasia,Suffering,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Brown,24,3
A700039,,4/6/15 17:49,Euthanasia,Suffering,Cat,Intact Male,2 years,Domestic Shorthair Mix,Cream Tabby/White,24,4
A694915,Cheese,6/14/15 13:43,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby/White,12,6
A587190,Ruby,2/9/14 12:16,Return_to_owner,,Dog,Spayed Female,7 years,Brittany Mix,White/Red,84,2
A676667,,4/13/14 17:36,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White,0.75,4
A683181,Buck,7/9/14 16:32,Return_to_owner,,Dog,Neutered Male,7 years,Jack Russell Terrier Mix,White/Tan,84,7
A664733,,10/9/13 16:34,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby/White,2,10
A701674,Sledge,7/28/15 9:53,Adoption,Foster,Cat,Neutered Male,3 years,Maine Coon Mix,Brown Tabby,36,7
A690807,Harley,11/7/14 13:35,Transfer,Partner,Cat,Intact Male,2 months,Domestic Longhair Mix,White/Black,2,11
A691199,Mckinley,11/19/14 16:34,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,2,11
A707232,Dulce,7/21/15 16:33,Return_to_owner,,Dog,Spayed Female,5 years,Jack Russell Terrier/Chihuahua Shorthair,White/Brown,60,7
A694770,,1/4/15 9:00,Transfer,SCRP,Cat,Intact Male,10 months,Domestic Shorthair Mix,Blue/White,10,1
A672107,Puff,5/30/14 9:09,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,White/Cream Tabby,12,5
A664344,,10/2/13 14:25,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Blue,0.5,10
A718702,Casper,2/7/16 0:00,Transfer,Partner,Cat,Neutered Male,2 years,Siamese Mix,Flame Point,24,2
A684059,,7/18/14 20:04,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby,1,7
A701284,Colt,5/27/15 15:26,Adoption,,Dog,Neutered Male,3 years,Bloodhound Mix,Red/Black,36,5
A696328,,2/3/15 9:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black,12,2
A671859,,2/5/14 14:27,Died,At Vet,Cat,Intact Female,2 years,Domestic Shorthair Mix,Calico,24,2
A687218,,9/7/14 16:30,Transfer,Partner,Dog,Neutered Male,2 months,Border Collie Mix,Black/White,2,9
A664582,,10/7/13 16:01,Transfer,SCRP,Cat,Unknown,3 months,Domestic Shorthair Mix,Black/White,3,10
A713771,Roxie,10/16/15 19:03,Adoption,,Dog,Spayed Female,10 months,Boxer Mix,Fawn/White,10,10
A657811,Blackie,8/20/14 12:19,Transfer,Partner,Dog,Neutered Male,5 years,German Shepherd Mix,Black/Brown,60,8
A664337,,10/8/13 18:45,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,2,10
A708760,Olivia,8/5/15 16:11,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Cream Tabby,1,8
A674190,Rick,3/27/14 12:12,Adoption,,Dog,Neutered Male,2 years,Pit Bull,Tan/White,24,3
A673367,Smokey,2/24/14 17:07,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever/Pit Bull,Tan,2,2
A692162,Diego,11/23/14 15:30,Adoption,,Dog,Neutered Male,5 months,Pit Bull Mix,Brown/White,5,11
A714420,Claude,11/9/15 14:42,Transfer,Partner,Dog,Neutered Male,1 year,Catahoula/Whippet,Brown,12,11
A701485,,4/30/15 17:01,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.75,4
A679793,,5/26/14 15:01,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue,0.75,5
A714499,Furgus Mckit,10/26/15 11:06,Return_to_owner,,Cat,Neutered Male,1 year,Domestic Longhair Mix,Orange,12,10
A693597,Charlie,12/19/14 13:37,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown/White,12,12
A690873,Calvin,11/7/14 13:34,Transfer,Partner,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Blue/White,48,11
A698523,Hercules,6/13/15 14:58,Return_to_owner,,Dog,Neutered Male,11 months,Australian Shepherd Mix,Blue Merle/Tan,11,6
A678398,Unique,5/8/14 16:10,Euthanasia,Suffering,Dog,Intact Female,10 years,Rottweiler Mix,Black/Tan,120,5
A669224,Levi,2/25/14 11:05,Adoption,,Dog,Neutered Male,1 year,American Pit Bull Terrier Mix,Black/White,12,2
A692782,Gunner,12/3/14 18:04,Transfer,Partner,Dog,Intact Male,3 years,Labrador Retriever Mix,Blue/White,36,12
A702833,Zelda,7/18/15 17:20,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,3,7
A716609,,11/23/15 18:33,Return_to_owner,,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown,5,11
A664309,Romo,10/16/13 17:07,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan,12,10
A693936,Baby,12/21/14 15:39,Transfer,Partner,Cat,Intact Female,12 years,Siamese Mix,Lilac Point,144,12
A714598,,11/8/15 14:56,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White,2,11
A704967,Kate,7/19/15 18:05,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Black,2,7
A583494,Chapelle,10/5/15 18:29,Return_to_owner,,Dog,Neutered Male,6 years,Dachshund Mix,Tricolor,72,10
A690283,Baby,12/24/14 11:05,Adoption,Foster,Cat,Spayed Female,3 months,Siamese Mix,Calico Point,3,12
A690942,Toby,11/9/14 9:00,Transfer,SCRP,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby,24,11
A687215,Hannah,9/3/14 17:04,Return_to_owner,,Dog,Spayed Female,3 years,Pit Bull Mix,White/Brown,36,9
A690516,,10/22/14 12:16,Euthanasia,Suffering,Cat,Intact Female,5 years,Domestic Shorthair Mix,Orange Tabby,60,10
A702695,Caney,7/12/15 13:48,Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Red/Black,24,7
A719228,,1/18/16 15:10,Transfer,Partner,Dog,Intact Male,3 months,Labrador Retriever Mix,Black,3,1
A664287,Daisy,10/6/13 17:27,Adoption,,Dog,Spayed Female,4 months,Chihuahua Shorthair Mix,Brown/White,4,10
A698532,Misty,3/13/15 18:30,Return_to_owner,,Dog,Spayed Female,9 years,Chihuahua Shorthair Mix,Tan,108,3
A676507,,4/11/14 9:02,Euthanasia,Rabies Risk,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black,24,4
A719461,Julius,1/24/16 18:38,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,2,1
A665669,Bozo,12/17/13 11:43,Adoption,,Dog,Neutered Male,1 year,German Shepherd Mix,Tan/Black,12,12
A664992,,10/15/13 13:27,Transfer,Partner,Dog,Intact Female,1 year,Australian Cattle Dog Mix,Brown/Black,12,10
A705272,,6/17/15 12:45,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue/White,1,6
A691438,,11/5/14 9:00,Transfer,SCRP,Cat,Unknown,8 months,Domestic Shorthair Mix,Blue,8,11
A668449,Riley,12/4/13 15:16,Return_to_owner,,Dog,Spayed Female,2 years,German Shepherd/Siberian Husky,Sable,24,12
A696096,,1/30/15 9:00,Transfer,SCRP,Cat,Intact Female,3 months,Domestic Shorthair Mix,Orange Tabby,3,1
A712513,Lucy,9/28/15 15:46,Return_to_owner,,Cat,Intact Female,10 years,Siamese Mix,Seal Point/Brown,120,9
A665918,Panda,2/23/14 15:26,Adoption,,Dog,Neutered Male,11 months,Flat Coat Retriever Mix,Black/White,11,2
A717041,Pie,12/6/15 12:02,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Cream Tabby,0.5,12
A655647,Minnie,8/23/14 17:12,Transfer,Partner,Dog,Spayed Female,1 year,Irish Terrier Mix,Black/Tan,12,8
A670640,Buckley,1/16/14 10:17,Return_to_owner,,Dog,Intact Male,11 years,Beagle Mix,Tan/White,132,1
A709923,,8/14/15 18:20,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.75,8
A715014,Brenda,11/20/15 15:05,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Longhair Mix,Brown Tabby,3,11
A682792,Flo,8/16/14 12:04,Transfer,Partner,Dog,Spayed Female,11 months,American Pit Bull Terrier Mix,Black/White,11,8
A683501,Miguel,7/26/14 12:08,Adoption,,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue/White,1,7
A709987,Franklin,8/26/15 13:16,Transfer,Partner,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby,2,8
A711062,Hansel,9/6/15 18:01,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,2,9
A686697,Sandy Boy,10/13/14 14:31,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White,36,10
A686843,Stella,2/17/16 0:00,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White,24,2
A702727,Scully,8/23/15 13:18,Adoption,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Yellow,36,8
A640768,Eros,12/6/14 18:04,Return_to_owner,,Dog,Neutered Male,5 years,Pit Bull Mix,Blue/White,60,12
A717470,Mork,12/13/15 14:03,Transfer,Partner,Dog,Intact Male,2 months,Mastiff/Chinese Sharpei,White/Black,2,12
A658825,Tiny,10/2/13 19:02,Return_to_owner,,Dog,Neutered Male,9 years,Boxer Mix,Tan/White,108,10
A686623,,8/24/14 15:42,Transfer,Partner,Cat,Intact Female,4 days,Domestic Shorthair Mix,Torbie,0.133333333,8
A664549,,10/5/13 12:20,Transfer,Partner,Cat,Intact Female,3 days,Manx Mix,Tortie,0.1,10
A698340,Gizmo,8/13/15 16:07,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair/Pembroke Welsh Corgi,Brown/White,12,8
A665093,Bell,10/18/13 13:05,Transfer,Partner,Cat,Spayed Female,6 months,Siamese Mix,Lynx Point,6,10
A716524,,11/24/15 19:33,Transfer,SCRP,Cat,Intact Male,6 months,Domestic Shorthair Mix,Orange Tabby/White,6,11
A709540,Lauren,8/15/15 15:22,Return_to_owner,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Orange Tabby/White,12,8
A677741,Missy,4/29/14 13:40,Return_to_owner,,Dog,Spayed Female,2 years,Border Collie Mix,Black/White,24,4
A712098,Jazz,11/13/15 11:53,Transfer,Partner,Dog,Spayed Female,3 years,Rat Terrier Mix,White/Tricolor,36,11
A668325,Beau,12/6/13 13:55,Transfer,Partner,Dog,Intact Male,4 months,Greyhound,Tan/White,4,12
A693861,Molly,1/5/15 17:17,Adoption,,Dog,Spayed Female,10 months,Pit Bull Mix,Blue/White,10,1
A700621,Jasper,7/22/15 9:17,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Blue Tabby/White,3,7
A720359,,2/18/16 10:40,Euthanasia,Suffering,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,3,2
A702011,Athena,7/30/15 18:22,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie,3,7
A673782,,3/3/14 15:56,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tortie,24,3
A679003,Billy,9/22/14 18:47,Adoption,,Dog,Neutered Male,3 years,Labrador Retriever/Chow Chow,Black,36,9
A692534,Lareine,11/28/14 16:58,Adoption,,Dog,Spayed Female,1 year,Queensland Heeler/Pointer,Blue Tick,12,11
A680218,Svi,8/6/15 16:15,Transfer,Partner,Dog,Neutered Male,8 years,Cardigan Welsh Corgi,Tricolor,96,8
A690092,Baily,10/30/14 13:24,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico,36,10
A664784,Patch,10/13/13 12:04,Adoption,,Dog,Neutered Male,2 years,Pit Bull/Boxer,Red/White,24,10
A720534,,2/11/16 19:26,Transfer,SCRP,Cat,Intact Female,,Domestic Shorthair Mix,Brown Tabby/White,,2
A687664,,9/8/14 16:55,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Cream Tabby,0.5,9
A669445,,12/31/13 15:24,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby,24,12
A712144,Bellona,10/7/15 14:22,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Calico,12,10
A697419,Autumn,3/7/15 17:29,Adoption,,Dog,Spayed Female,2 years,Finnish Spitz,Red,24,3
A712931,Mike,10/7/15 12:04,Transfer,Partner,Cat,Neutered Male,4 months,Domestic Shorthair Mix,White/Orange Tabby,4,10
A667897,Layla,11/26/13 18:22,Return_to_owner,,Dog,Spayed Female,8 months,Labrador Retriever Mix,Black,8,11
A698406,Max,3/28/15 17:35,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,2,3
A694725,Mikey,1/5/15 18:19,Return_to_owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Black,12,1
A718657,Schultz,2/6/16 14:41,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,White/Chocolate,12,2
A713232,Lucrecia,11/23/15 17:54,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,2,11
A703691,,5/27/15 19:00,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby,0.5,5
A672248,Mandy,2/6/14 18:54,Return_to_owner,,Dog,Spayed Female,4 years,Flat Coat Retriever Mix,Black/White,48,2
A666841,,11/8/13 15:02,Transfer,Partner,Dog,Intact Male,2 months,Labrador Retriever/Rottweiler,Black,2,11
A677070,Channell,4/19/14 12:50,Transfer,Partner,Dog,Intact Female,5 years,Chihuahua Shorthair Mix,Tan,60,4
A711532,Oliver Dean,9/29/15 17:42,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby/White,12,9
A692756,Leo,11/25/14 17:44,Return_to_owner,,Dog,Intact Male,3 years,Labrador Retriever Mix,White,36,11
A706417,Abby,7/2/15 17:29,Return_to_owner,,Dog,Spayed Female,5 years,Miniature Poodle Mix,White,60,7
A702172,Freddy,5/14/15 17:31,Adoption,,Dog,Neutered Male,8 months,Cairn Terrier Mix,Black/Tan,8,5
A679275,,5/20/14 8:00,Transfer,SCRP,Cat,Intact Female,3 years,Domestic Medium Hair Mix,Brown Tabby,36,5
A677479,Tinker Bell,5/1/14 17:05,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Brown/White,12,5
A702538,Adam,7/1/15 17:46,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby,2,7
A681456,,6/26/14 15:31,Transfer,Partner,Dog,Neutered Male,4 months,Labrador Retriever Mix,Tan/White,4,6
A687253,Mini,9/3/14 13:52,Transfer,Partner,Dog,Spayed Female,6 months,Miniature Schnauzer/Miniature Poodle,Gray,6,9
A677829,Miguel,5/27/14 15:59,Adoption,,Dog,Neutered Male,1 year,Miniature Pinscher/Chihuahua Shorthair,Black/Brown,12,5
A694748,,1/7/15 17:44,Adoption,,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Calico,8,1
A682890,Keen,7/8/14 14:53,Transfer,Partner,Cat,Neutered Male,13 years,Domestic Longhair Mix,Brown Tabby/White,156,7
A641085,Buster,5/27/15 15:04,Return_to_owner,,Dog,Neutered Male,4 years,Shih Tzu Mix,White/Tan,48,5
A710252,,8/24/15 17:02,Adoption,,Dog,Spayed Female,6 months,Blue Lacy Mix,Fawn,6,8
A719571,Bo,2/4/16 13:27,Adoption,,Dog,Neutered Male,10 months,Pit Bull Mix,Tan,10,2
A711904,Veronica,9/18/15 14:32,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico,1,9
A712516,Amber,1/9/16 17:42,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby,4,1
A691961,,11/18/14 18:20,Adoption,,Cat,Neutered Male,2 months,Siamese Mix,Blue Point/White,2,11
A686349,Nova,8/30/14 17:48,Adoption,,Dog,Spayed Female,5 months,Dachshund/Dachshund,Black,5,8
A682294,Drake,7/4/14 13:25,Transfer,Partner,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Red,24,7
A595590,Jo,1/25/14 13:34,Transfer,Partner,Dog,Spayed Female,2 years,Black/Tan Hound Mix,Black/Tan,24,1
A671080,Princess,4/24/14 13:11,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Yellow,24,4
